algorithm,dataset,attack,evaluations,indicator,value,dir
moead,cifar10,FGSM,720,hv_2obj,51.124412600951445,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,760,hv,152041.95663391362,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,760,r2,0.1513643108475627,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,760,hv_2obj,51.124412600951445,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,800,hv,152041.95770828682,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,800,r2,0.1513643108475627,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,800,hv_2obj,51.124412600951445,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,840,hv,152041.95770828682,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,840,r2,0.1513643108475627,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,840,hv_2obj,51.124412600951445,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,880,hv,152044.71528759625,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,880,r2,0.1513643108475627,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,880,hv_2obj,51.124412600951445,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,920,hv,152045.15247999964,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,920,r2,0.1513643108475627,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,920,hv_2obj,51.124412600951445,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,960,hv,152045.18242483906,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,960,r2,0.1513643108475627,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,960,hv_2obj,51.124412600951445,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,1000,hv,152185.95274037222,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
moead,cifar10,FGSM,1000,r2,0.1513643108475627,results/moead/cifar10/2026-09-06_03-30-00_15798821/search/
