algorithm,dataset,attack,evaluations,indicator,value,dir
moras,cifar10,FGSM,200,hv_2obj,52.048462969797,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,240,hv,154288.00091150164,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,240,r2,0.14505564817047756,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,240,hv_2obj,52.14337748102564,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,280,hv,154620.89508773008,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,280,r2,0.14504040463974413,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,280,hv_2obj,52.146602119843685,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,320,hv,154953.67376165302,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,320,r2,0.1447729525790937,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,320,hv_2obj,52.20339572892358,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,360,hv,154973.0157495268,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,360,r2,0.1447729525790937,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,360,hv_2obj,52.20339572892358,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,400,hv,155370.9172197345,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,400,r2,0.1441663828420943,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,400,hv_2obj,52.33578118754681,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,440,hv,155649.96769257938,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,440,r2,0.1441663828420943,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,440,hv_2obj,52.33578118754681,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,480,hv,156479.7391969867,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,480,r2,0.14303242462598023,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,480,hv_2obj,52.57962455258069,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,520,hv,156514.0787751154,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,520,r2,0.14303242462598023,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,520,hv_2obj,52.58313553115993,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,560,hv,156523.52705523238,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,560,r2,0.14303242462598023,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,560,hv_2obj,52.58313553115993,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,600,hv,156922.8668952253,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,600,r2,0.1426950325758559,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,600,hv_2obj,52.63426424307829,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,640,hv,157886.4598743927,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,640,r2,0.14132401667528902,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,640,hv_2obj,52.93168699348894,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,680,hv,157888.94348392362,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,680,r2,0.14132401667528902,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,680,hv_2obj,52.93168699348894,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,720,hv,157891.94677611804,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,720,r2,0.14132401667528902,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,720,hv_2obj,52.931690340127375,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,760,hv,157906.41858734746,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,760,r2,0.14132401667528902,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,760,hv_2obj,52.931690340127375,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,800,hv,157909.67389320317,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,800,r2,0.14132401667528902,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,800,hv_2obj,52.931690340127375,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,840,hv,157910.0792519548,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,840,r2,0.14132401667528902,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,840,hv_2obj,52.931690340127375,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,880,hv,157912.85660886072,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,880,r2,0.14132401667528902,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,880,hv_2obj,52.931690340127375,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,920,hv,158608.45262575932,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,920,r2,0.1402434070395993,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,920,hv_2obj,53.166625213541856,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,960,hv,158619.95691595,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,960,r2,0.1402434070395993,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,960,hv_2obj,53.166625213541856,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,1000,hv,159623.5959418283,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,1000,r2,0.13800133637552764,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,1000,hv_2obj,53.51082760027442,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
